country,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,iso3
Poland,31269,31269,31269,31269,31269,31269,31269,31268,31268,31268,POL
Eritrea,,,,,,11760,11760,11760,11760,11760,ERI
Kyrgyzstan,,,,,19995,19995,19995,19995,19995,19995,KGZ
Sri Lanka,6561,6561,6561,6561,6561,6561,6561,6561,6561,6561,LKA
Latvia,,,,,6456,6456,6456,6456,6448,6449,LVA
South Sudan,,,,,,,,,64433,64433,SSD
Guyana,21497,21497,21497,21497,21497,21497,21497,21497,21497,21497,GUY
Côte d'Ivoire,32246,32246,32246,32246,32246,32246,32246,32246,32246,32246,CIV
Honduras,11249,11249,11249,11249,11249,11249,11249,11249,11249,11249,HND
Myanmar,67659,67659,67659,67659,67659,67659,67659,67659,67659,67659,MMR
Equatorial Guinea,2805,2805,2805,2805,2805,2805,2805,2805,2805,2805,GNQ
Egypt,100145,100145,100145,100145,100145,100145,100145,100145,100145,100145,EGY
Nicaragua,13037,13037,13037,13037,13037,13037,13037,13037,13037,13037,NIC
Singapore,68,68,68,68,68,68,68.5,70.5,71.6,71.9,SGP
Democratic People's Republic of Korea,12054,12054,12054,12054,12054,12054,12054,12054,12054,12054,PRK
Botswana,58173,58173,58173,58173,58173,58173,58173,58173,58173,58173,BWA
Timor-Leste,1487,1487,1487,1487,1487,1487,1487,1487,1487,1487,TLS
Congo,34200,34200,34200,34200,34200,34200,34200,34200,34200,34200,COG
Greece,13196,13196,13196,13196,13196,13196,13196,13196,13196,13196,GRC
Paraguay,40675,40675,40675,40675,40675,40675,40675,40675,40675,40675,PRY
Namibia,82429,82429,82429,82429,82429,82429,82429,82429,82429,82429,NAM
Comoros,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,186.1,COM
